접수연도,자치구코드,자치구명,법정동코드,법정동명,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,건축년도,역개수,학교수
2024,11230,동대문구,10200,용두동,창보리버리치,20241227,43400,33.94,6.0,20.0,2019.0,6,1
2024,11215,광진구,10500,자양동,진연빌6차,20241227,66500,48.52,26.0,3.0,2022.0,11,22
2024,11470,양천구,10300,신월동,대성유니드,20241227,62200,76.0,0.0,11.0,2004.0,5,46
2024,11380,은평구,10500,구산동,좋은빌(20-16),20241227,26000,74.63,39.0,2.0,2002.0,13,27
2024,11620,관악구,10100,봉천동,장원오피스텔,20241227,9000,17.68,17.68,3.0,2002.0,4,112
2024,11620,관악구,10100,봉천동,장원오피스텔,20241227,9000,17.67,17.67,3.0,2002.0,4,112
2024,11620,관악구,10100,봉천동,장원오피스텔,20241227,9000,16.7,16.7,3.0,2002.0,4,112
2024,11290,성북구,10700,동소문동4가,(118),20241227,22000,18.445,28.832,6.0,2019.0,9,0
2024,11620,관악구,10100,봉천동,장원오피스텔,20241227,9000,16.68,16.68,3.0,2002.0,4,112
2024,11410,서대문구,11900,북가좌동,(342-12),20241227,13450,28.72,20.0,1.0,1993.0,5,6
2024,11230,동대문구,10600,장안동,장안푸르미에,20241227,12650,17.557,0.0,6.0,2013.0,6,5
2024,11710,송파구,11100,방이동,인택스파크빌,20241227,60000,75.19,38.0,2.0,2002.0,28,19
2024,11380,은평구,10700,응암동,(99-73),20241227,13500,37.6,33.0,1.0,1986.0,13,46
2024,11470,양천구,10100,신정동,이호트라움10차,20241227,29500,43.21,26.0,5.0,2015.0,5,63
2024,11215,광진구,10500,자양동,227-179,20241227,54000,20.16,25.0,2.0,2016.0,11,22
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11440,마포구,12500,성산동,이안상암,20241227,55000,76.04,103.27,10.0,2005.0,16,11
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11410,서대문구,11200,대현동,유씨유 이대,20241227,19100,17.66,30.7403,14.0,2018.0,5,1
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11560,영등포구,10100,영등포동,영등포푸르지오,20241227,110000,73.133,0.0,2.0,2002.0,11,2
2024,11260,중랑구,10400,묵동,우성,20241227,29000,48.91,0.0,4.0,1975.0,8,14
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,8.0,2018.0,5,6
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,8.0,2018.0,5,6
2024,11410,서대문구,11700,연희동,연희동양빌라트,20241227,27000,42.02,298.0,4.0,1998.0,5,6
2024,11380,은평구,10600,대조동,연신내역마에스트로,20241227,21500,29.88,44.07,17.0,2013.0,13,16
2024,11560,영등포구,10300,영등포동2가,여의도리미티오148,20241227,31500,24.385,0.0,17.0,2022.0,11,0
2024,11710,송파구,10400,송파동,엘에이치송파도시형생활주택,20241227,20250,22.87,21.0,2.0,2013.0,28,17
2024,11410,서대문구,11700,연희동,THE연희힐,20241227,14684,13.48,7.0,9.0,2018.0,5,6
2024,11470,양천구,10300,신월동,대성유니드,20241227,62200,76.0,0.0,11.0,2004.0,5,46
2024,11680,강남구,10800,논현동,아크로힐스논현,20241227,240000,84.074,0.0,27.0,2014.0,21,2
2024,11740,강동구,10900,천호동,쌍용플래티넘리버,20241227,19300,34.2,46.65,10.0,2004.0,15,14
2024,11590,동작구,10200,상도동,경광빌라,20241227,40000,59.59,28.0,4.0,2003.0,12,8
2024,11410,서대문구,11200,대현동,신촌가이아,20241227,15300,22.74,33.425,13.0,2005.0,5,1
2024,11410,서대문구,11200,대현동,신촌 아리움,20241227,35000,16.61,24.1121,7.0,2022.0,5,1
2024,11305,강북구,10300,수유동,신성에어빌B동(301-65),20241227,22000,53.86,29.0,2.0,2002.0,3,24
2024,11530,구로구,10100,신도림동,골든애비뉴,20241227,10950,17.77,26.43,4.0,2014.0,7,7
2024,11650,서초구,10600,잠원동,신반포2,20241227,327500,68.91,0.0,12.0,1978.0,12,2
2024,11305,강북구,10100,미아동,수유지웰에스테이트,20241227,9000,15.885,13.0,2.0,2015.0,3,54
2024,11710,송파구,10900,장지동,송파파인타운3단지,20241227,119500,84.93,0.0,2.0,2008.0,28,20
2024,11545,금천구,10200,독산동,레이나(882-18),20241227,32000,28.94,21.0,3.0,2022.0,1,38
2024,11320,도봉구,10600,방학동,선덕빌라,20241227,11800,36.18,16.0,1.0,1994.0,3,23
2024,11560,영등포구,11500,당산동5가,데시앙루브 오피스텔,20241227,18500,23.83,33.36,4.0,2014.0,11,0
2024,11380,은평구,10300,불광동,골든팰리스(90-55),20241227,29000,29.59,21.0,2.0,2023.0,13,26
2024,11440,마포구,11700,신정동,서강GS,20241227,93000,59.98,0.0,5.0,1999.0,16,0
2024,11230,동대문구,10100,신설동,동대문 프라임시티,20241227,35128,27.78,40.24,8.0,2023.0,6,5
2024,11590,동작구,10200,상도동,상도더샵2차,20241227,114000,84.99,0.0,2.0,2014.0,12,8
2024,11380,은평구,10300,불광동,골든팰리스(90-55),20241227,28500,29.75,20.0,2.0,2023.0,13,26
2024,11380,은평구,10300,불광동,골든팰리스(90-55),20241227,28500,29.93,20.0,4.0,2023.0,13,26
2024,11380,은평구,10300,불광동,골든팰리스(90-55),20241227,30000,29.93,21.0,5.0,2023.0,13,26
2024,11380,은평구,10300,불광동,골든팰리스(90-55),20241227,28500,29.93,20.0,3.0,2023.0,13,26
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,32210,40.68,58.0914,18.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,32210,40.68,58.0914,19.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,33880,45.461,64.9176,12.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,33880,45.461,64.9176,12.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,34074,45.461,64.9176,10.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,33681,45.461,64.9176,9.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,33681,45.461,64.9176,8.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,32696,45.461,64.9176,5.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,32696,45.461,64.9176,4.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,32497,45.461,64.9176,4.0,2023.0,7,12
2024,11290,성북구,13400,길음동,삼부컨비니언,20241227,58000,59.94,0.0,14.0,1998.0,9,8
2024,11260,중랑구,10600,신내동,베네스트로프트(BENEST LOFT),20241227,20000,27.79,44.8664,19.0,2021.0,8,6
2024,11710,송파구,10800,문정동,문정 아이파크,20241227,22600,25.77,37.73,14.0,2017.0,28,8
2024,11170,용산구,13100,한남동,몬트레아 한남,20241227,194770,49.731,71.6552,11.0,2024.0,10,4
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,34268,45.461,64.9176,13.0,2023.0,7,12
2024,11470,양천구,10100,신정동,목동신시가지13,20241227,195000,98.63,0.0,2.0,1987.0,5,63
2024,11470,양천구,10200,목동,명인주택,20241227,24000,40.96,26.0,3.0,1992.0,5,32
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,31910,45.461,64.9176,3.0,2023.0,7,12
2024,11530,구로구,10800,오류동,구로예미지어반코어,20241227,32696,45.461,64.9176,5.0,2023.0,7,12
2024,11590,동작구,10800,대방동,궁전하우스,20241227,35500,54.58,25.0,3.0,2002.0,12,82
2024,11380,은평구,10900,신사동,금강블루(16-1),20241227,21500,29.75,18.0,4.0,2016.0,13,21
2024,11440,마포구,10200,공덕동,마포현대하이엘,20241227,21000,31.375,41.037,2.0,2005.0,16,1
2024,11440,마포구,10900,염리동,마포자이더센트리지(102동~112동),20241227,174000,84.866,0.0,6.0,2022.0,16,31
2024,11440,마포구,11100,신수동,마포경남아너스빌,20241227,115000,84.95,0.0,3.0,2007.0,16,8
2024,11680,강남구,10800,논현동,마일스디오빌,20241227,39800,36.29,0.0,6.0,2004.0,21,2
2024,11500,강서구,10500,마곡동,마곡대명투웨니퍼스트,20241227,13150,17.96,26.31,3.0,2015.0,9,8
2024,11500,강서구,10500,마곡동,마곡 파크뷰 대방디엠시티 오피스텔,20241227,18000,21.25,31.7629,9.0,2019.0,9,8
2024,11710,송파구,10500,석촌동,LH석촌도시형생활주택,20241227,17800,24.71,22.0,2.0,2012.0,28,1
2024,11380,은평구,10500,구산동,리치빌,20241227,14500,32.54,18.0,4.0,2013.0,13,27
2024,11260,중랑구,10300,중화동,롯데하이츠,20241227,41500,42.69,31.0,2.0,2021.0,8,7
2024,11545,금천구,10200,독산동,레이나(882-18),20241227,32000,28.94,21.0,3.0,2022.0,1,38
2024,11470,양천구,10100,신정동,라비앙하우스,20241227,24000,29.81,18.0,2.0,2017.0,5,63
2024,11290,성북구,13700,상월곡동,동아에코빌,20241227,56300,59.95,0.0,3.0,2003.0,9,1
2024,11500,강서구,10200,등촌동,동성(654-43),20241227,50000,59.58,69.0,1.0,1985.0,9,45
2024,11500,강서구,10500,마곡동,필네이처,20241226,14300,24.63,40.52,11.0,2016.0,9,8
2024,11305,강북구,10200,번동,홍원루미에르강북10,20241226,43800,48.32,28.0,4.0,2024.0,3,3
2024,11500,강서구,10500,마곡동,필네이처,20241226,13700,22.16,36.45,11.0,2016.0,9,8
2024,11305,강북구,10200,번동,홍원루미에르강북10,20241226,37750,43.19,25.0,2.0,2024.0,3,3
2024,11380,은평구,10700,응암동,한라빌라,20241226,18000,47.67,29.0,2.0,2003.0,13,46
2024,11410,서대문구,11200,대현동,이대프리젠#2,20241226,17600,15.24,22.1,6.0,2017.0,5,1
2024,11110,종로구,16600,연건동,대보마로니에텔,20241226,22000,35.7,46.91,5.0,2001.0,15,0
2024,11290,성북구,13400,길음동,길음뉴타운4단지(e편한세상),20241226,65500,59.97,0.0,2.0,2005.0,9,8
2024,11500,강서구,10900,방화동,이프아이방화,20241226,19800,29.98,26.0,2.0,2021.0,9,49
2024,11215,광진구,10500,자양동,자양2현대,20241226,117700,84.66,0.0,4.0,1995.0,11,22
2024,11710,송파구,10200,신천동,장미1,20241226,259000,99.0,0.0,9.0,1979.0,28,9
2024,11320,도봉구,10600,방학동,효성하이타운아파트,20241226,49000,84.87,0.0,7.0,2002.0,3,23
2024,11440,마포구,12300,망원동,,20241226,140000,162.18,151.0,,1977.0,16,2
2024,11305,강북구,10200,번동,홍원루미에르강북10,20241226,44250,48.32,28.0,5.0,2024.0,3,3
2024,11215,광진구,10400,광장동,효성리버카운티,20241226,14700,27.8,37.34,8.0,2003.0,11,10
2024,11200,성동구,10700,행당동,서울숲행당푸르지오,20241226,135000,84.74,0.0,4.0,2011.0,14,6
2024,11200,성동구,10700,행당동,서울숲행당푸르지오,20241226,165000,114.33,0.0,11.0,2011.0,14,6
2024,11305,강북구,10200,번동,홍원루미에르강북10,20241226,40900,45.59,27.0,5.0,2024.0,3,3
2024,11440,마포구,10200,공덕동,솔리스타,20241226,17000,14.29,0.0,16.0,2018.0,16,1
2024,11290,성북구,13400,길음동,길음뉴타운8단지(래미안),20241226,89000,59.99,0.0,4.0,2010.0,9,8
